10/06/2017 16:35:05, 2.26
10/06/2017 16:35:19, 1.44
10/06/2017 16:35:48, 3.64
10/06/2017 16:36:30, 7.38
10/06/2017 16:37:30, 22.08
10/06/2017 16:37:41, 1.26
10/06/2017 16:43:37, 4.22
10/06/2017 16:44:17, 6.70
10/06/2017 16:44:30, 1.33
10/06/2017 16:44:43, 1.38
10/06/2017 16:59:29, 3.22
10/08/2017 20:02:08, 1.90
10/08/2017 20:02:24, 1.62
10/08/2017 20:02:42, 1.78
10/08/2017 20:03:03, 2.16
10/08/2017 20:03:24, 2.20
10/10/2017 09:17:11, 5.80
10/10/2017 09:17:24, 1.35
10/10/2017 09:17:41, 1.70
10/10/2017 09:45:29, 5.66
10/10/2017 09:45:59, 3.83
10/10/2017 09:46:11, 1.20
10/10/2017 09:46:24, 1.37
10/10/2017 09:46:48, 2.55
10/10/2017 09:47:39, 13.19
10/10/2017 09:47:54, 1.53
10/10/2017 09:48:23, 3.47
10/10/2017 09:48:37, 1.42
10/10/2017 09:48:45, 1.00
10/10/2017 09:52:34, 1.71
10/10/2017 09:53:00, 2.88
10/10/2017 09:53:11, 1.21
10/10/2017 09:53:39, 3.37
10/10/2017 09:53:47, 1.00
10/10/2017 12:16:27, 4.02,No Bet
10/10/2017 12:16:45, 1.82,No Bet
10/10/2017 12:17:00, 1.57,No Bet
10/10/2017 12:17:15, 1.53,No Bet
10/10/2017 12:17:41, 2.92,No Bet
10/10/2017 12:18:13, 4.29,No Bet
10/10/2017 12:18:55, 7.52,No Bet
10/10/2017 12:19:07, 1.21,No Bet
10/10/2017 12:19:25, 1.85,No Bet
10/10/2017 12:19:35, 1.14,Error
10/10/2017 12:19:49, 1.39,No Bet
10/10/2017 12:21:22, 2.83,No_Bet
10/10/2017 12:21:37, 1.51,No_Bet
10/10/2017 12:22:06, 3.60,No_Bet
10/10/2017 12:22:38, 3.97,No_Bet
10/10/2017 12:22:55, 1.78,No_Bet
10/10/2017 12:23:14, 1.86,No_Bet
10/10/2017 12:23:25, 1.18,Bet
10/10/2017 23:19:38, 2.27,No_Bet
10/10/2017 23:19:57, 1.91,No_Bet
10/10/2017 23:20:05, 1.00,Bet
10/10/2017 23:20:17, 1.25,No_Bet
10/10/2017 23:20:20, 1.25,No_Bet
10/10/2017 23:27:23, 20.23,No_Bet
10/10/2017 23:28:25, 25.09,No_Bet
10/10/2017 23:28:51, 2.90,No_Bet
10/10/2017 23:29:05, 1.42,No_Bet
10/10/2017 23:29:08, 1.42,No_Bet
10/10/2017 23:29:16, 1.17,Bet
10/10/2017 23:29:44, 3.39,No_Bet
10/10/2017 23:30:01, 1.64,No_Bet
10/10/2017 23:30:04, 1.64,No_Bet
10/10/2017 23:30:10, 1.08,Error
10/10/2017 23:30:20, 1.15,Error
10/10/2017 23:30:44, 2.53,No_Bet
10/10/2017 23:30:47, 2.53,No_Bet
10/10/2017 23:31:19, 5.21,No_Bet
10/10/2017 23:31:32, 1.32,No_Bet
10/10/2017 23:31:43, 1.18,Bet
10/10/2017 23:32:17, 4.68,No_Bet
10/10/2017 23:32:26, 1.08,Bet
10/10/2017 23:32:38, 1.24,No_Bet
10/10/2017 23:32:49, 1.20,Error
10/11/2017 14:39:40, 8.11,No_Bet
10/11/2017 14:40:09, 3.39,No_Bet
10/11/2017 14:40:36, 3.20,No_Bet
10/11/2017 14:40:51, 1.50,No_Bet
10/11/2017 14:41:17, 2.97,No_Bet
10/11/2017 14:41:55, 5.89,No_Bet
10/11/2017 14:42:07, 1.26,No_Bet
10/11/2017 14:42:34, 3.25,No_Bet
10/11/2017 14:42:44, 1.06,Error
10/11/2017 14:43:01, 1.77,No_Bet
10/11/2017 14:43:25, 2.59,No_Bet
10/11/2017 14:45:16, 2.75,No_Bet
10/11/2017 14:45:26, 1.11,Bet
10/11/2017 14:45:56, 3.73,No_Bet
10/11/2017 14:46:05, 1.05,Bet
10/11/2017 14:46:14, 1.02,Bet
10/11/2017 14:46:35, 2.18,No_Bet
